row_id,Review,sentimiento_5_offline
161289,"Es un lugar bellísimo, para llegar es necesario transportarte en lancha la cual tiene un precio bastante accesible, en la isla venden varias artesanías del lugar, desde prendas de vestir, antojitos mexicano, recuerditos y demás, su gente es muy amable, la mayoria de las personas conservan su lengua nativa, el lugar es pequeño pero fácil de caminar en una tarde, guarda muchas tradiciones mexicanas que se han perdido y te transporta a un lugar perdido en el tiempo",
10063,"El lugar es muy agradable, con una vista realmente increíble, la atención de los meseros muy buena, pero la comida no es nada fuera de lo común e incluso las porciones son pequeñas. La carta de vinos pequeña, pero razonablemente completa.",
80240,"Es una plaza en forma de herradura con muchos juegos infantiles para niños, grandes jardines con pasto, varios restaurantes: comida mexicana, pollo rostizado, pizza gourmet, hamburguesas, cortes, micheladas, cafeteria y helados italianos (por cierto delicioso !!!, no te los puedes perder. Ojo que están un poco apartados y cerca de un kiosco donde puedes ver a unos peces por lo que no te vayas a olvidar de ir). También hay un Bancomer con cajero por si necesitas efectivo. Tomate toda la tarde para ir, comer, sobremesa con café o helado y tomar un par de cervezas. Amplio estacionamiento, gratis pero los locales venden la comida un poco cara para que lleves dinero ya que algunos solo manejan efectivo. Un lugar al que tienes que ir si vas a Ixtapan !!!",
201614,"Excelente atención de Miguel Manzanero en el Seafood Restaurant de la playa durante el mediodia y de German en el Restaurant Asiático por la noche. Victor del equipo de animación un genio, gran jugador de volley y danzarin. Super cordiales y divertidos los 3.",
176112,El desayuno esta súper rico y el servicio fue bastante eficaz muy atentos desde el acceso y durante toda la atención,
98307,el mejor plato de fruta en México; la terraza comedor fantásticas vistas; bicicletas para alquiler diario o semanal; excelente chillequilles y vegetales batidos,
25527,Entorno natural te hace sentir en el corazon de palenque ademas de mantener a los animales en su habiatat natural volveria con mi familia sin duda.,
163360,"Muy bien preparado para el turista, la visita es muy didáctica. El lugar perfectamente impecable, el video, la atención de su personal, vale la pena!",
150722,Nos lo pasamos de maravilla nadar con los delfines en el Dolphinarus en el complejo Bahía Príncipe Tulum en cerca de Akumal. Los formadores son muy bueno y creo que mostraron que los delfines y los participantes un buen tiempo. Nos sentimos que aprendimos más acerca de estas maravillosas criaturas y nos divertimos mucho. También nos alojamos por el espectáculo de los delfines después.,
174440,Linda experiencia para comenzar la visita a Tulum. El personal es amable y la experiencia maravillosa. Súper recomendado,
